# Date,City,State,Event Type,TO,Best of,Event Locator Link,Notes,Total Players,Lat,Lon,
10/14/2018,Gaithersburg,MD,USA,PC,Kyle Littleton,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001465/,to immediately follow MSS,15,39.14036,-77.19373
10/14/2018,Fort Wayne,IN,USA,MSS,Ryan Patterson,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000467/,$5 entry,27,41.08026,-85.13831
10/14/2018,Fort Wayne,IN,USA,PC,Jonathan Neville,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000467/,to immediately follow MSS,27,41.08026,-85.13831
10/14/2018,Cambridge,MA,USA,MSS,Chuck Morales,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000891/,rescheduled from 10/21/2018.,20,42.3668,-71.10602
10/14/2018,Coon Rapids,MN,USA,PC,Ryan Alperstein,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001636/,Not enough players- to be rescheduled.,1,45.17309,-93.3044
10/14/2018,Mississauga,Ontario,CAN,MSS,Martin Jurak,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000401/,,25,43.58691,-79.64535
10/14/2018,Mississauga,Ontario,CAN,PC,Martin Jurak,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000407/,,18,43.58691,-79.64535
10/14/2018,Guadalajara,Jalisco,MEX,MSS,Ricardo Miranda,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000983/,,22,20.68758,-103.35104
10/14/2018,Guadalajara,Jalisco,MEX,PC,Ricardo Miranda,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002141/,,12,20.68758,-103.35104
10/14/2018,Mexico DF,Distrito Federal,MEX,MSS,Ives Rountree,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000177/,,20,19.43195,-99.13315
10/14/2018,Corpus Christi,TX,USA,MSS,Jonathan Turner,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002035/,,12,27.79642,-97.40374
10/14/2018,Corpus Christi,TX,USA,PC,Jonathan Turner,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002036/,,10,27.79642,-97.40374
10/14/2018,Monterrey,Nuevo Leon,MEX,PC,Fernando Riveroll,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002267/,,17,25.67093,-100.30999
10/14/2018,Tlaxcala,Tlaxcala,MEX,PC,Isabel Sarmiento,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002693/,,14,19.31691,-98.2375
10/15/2018,Auburn,WA,USA,PC,David Nelson,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002138/,free- not enough players- cancelled.,3,47.3074,-122.23041
10/20/2018,Norwalk,CA,USA,PC,Miguel Campos,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000091/,,28,33.91681,-118.07253
10/20/2018,Seattle,WA,USA,MSS,Lucy Yang,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001657/,,19,47.60358,-122.32945
10/20/2018,Mexico DF,Distrito Federal,MEX,PC,Emmanuel Pantaleon,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000142/,,16,19.43195,-99.13315
10/20/2018,Kent,OH,USA,MSS,Patrick Brett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001834/,,13,41.15092,-81.35822
10/20/2018,Kent,OH,USA,PC,Patrick Brett,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001836/,,8,41.15092,-81.35822
10/20/2018,Enfield,CT,USA,PC,Chuck Morales,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002294/,,8,41.99835,-72.57436
10/20/2018,Salt Lake City,UT,USA,PC,Daniel Cheney,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002932/,,,40.76031,-111.88822
10/20/2018,Red Deer,Alberta,CAN,PC,Michelle Thonger,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003193/,,,52.26853,-113.80901
10/20/2018,Sanford,FL,USA,PC,TJ DiGiacomo,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002749/,,9,28.81397,-81.26805
