# Date,City,State,Event Type,TO,Best of,Event Locator Link,Notes,Total Players,Lat,Lon,
10/14/2018,Guadalajara,Jalisco,MEX,PC,Ricardo Miranda,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002141/,,12,20.68758,-103.35104
10/14/2018,Corpus Christi,TX,USA,PC,Jonathan Turner,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002036/,,10,27.79642,-97.40374
10/14/2018,Monterrey,Nuevo Leon,MEX,PC,Fernando Riveroll,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002267/,,17,25.67093,-100.30999
10/14/2018,Tlaxcala,Tlaxcala,MEX,PC,Isabel Sarmiento,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002693/,,14,19.31691,-98.2375
10/15/2018,Auburn,WA,USA,PC,David Nelson,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002138/,free- not enough players- cancelled.,3,47.3074,-122.23041
10/20/2018,Norwalk,CA,USA,PC,Miguel Campos,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000091/,,28,33.91681,-118.07253
10/20/2018,Mexico DF,Distrito Federal,MEX,PC,Emmanuel Pantaleon,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000142/,,16,19.43195,-99.13315
10/20/2018,Kent,OH,USA,PC,Patrick Brett,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001836/,,8,41.15092,-81.35822
10/20/2018,Enfield,CT,USA,PC,Chuck Morales,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002294/,,8,41.99835,-72.57436
10/20/2018,Salt Lake City,UT,USA,PC,Daniel Cheney,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002932/,,,40.76031,-111.88822
10/20/2018,Red Deer,Alberta,CAN,PC,Michelle Thonger,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003193/,,,52.26853,-113.80901
10/20/2018,Sanford,FL,USA,PC,TJ DiGiacomo,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002749/,,9,28.81397,-81.26805
10/20/2018,Reynosa,Tamaulipas,MEX,PC,Jose Alejandro Guerrero,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002286/,,11,26.0928,-98.27749
10/20/2018,Milwaukie,OR,USA,PC,Seth Kuepker,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001824/,Not enough players- cancelled.,,45.44517,-122.64153
10/20/2018,Houston,TX,USA,PC,Steve Lewis,,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003510/,,8,29.76059,-95.36968
10/20/2018,Hurst,TX,USA,PC,Christine Noah,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003665/,,,32.84106,-97.18618
10/21/2018,Vancouver,British Columbia,CAN,PC,Rushan Shekar,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000921/,,8,49.26039,-123.11336
10/21/2018,Monterrey,Nuevo Leon,MEX,PC,Israel Morales,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001288/,,11,25.67093,-100.30999
10/21/2018,Mexico DF,Distrito Federal,MEX,PC,Ives Rountree,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002034/,,16,19.43195,-99.13315
10/21/2018,Columbus,OH,USA,PC,Ryan Patterson,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002018/,,,39.96199,-83.00276
10/21/2018,Loves Park,IL,USA,PC,Suzanne Nortridge,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001919/,,,42.31607,-89.05721
10/21/2018,Huntsville,AL,USA,PC,Mitch Beyer,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002947/,free,8,34.7293,-86.58511
10/21/2018,Piscataway,NJ,USA,PC,Jennifer Badamo/Arbin Tumaneng,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003003/,,18,40.53861,-74.47181
10/21/2018,Raleigh,NC,USA,PC,Tommy Roberson,Bo1*,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001960/,*- subject to change,,35.78551,-78.64267
10/21/2018,Fort Collins,CO,USA,PC,Michael Pule,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002092/,,10,40.58147,-105.07662
10/21/2018,San Antonio,TX,USA,PC,Joey Palacios,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002402/,,8,29.42458,-98.49461
10/25/2018,Maitland,FL,USA,PC,Jason Rengel,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002739/,,8,28.62736,-81.36454
12/26/2018,Portland,OR,USA,PC,David Nelson,Bo1,,,,45.5118,-122.67563
10/27/2018,Oxford,MS,USA,PC,Joseph Brummett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000084/,rescheduled from 10/13/2018.,,34.36403,-89.51894
